object 1 //331655
103 340
755 510
103 50
982 280
298 560
710 50
802 330
object 2 //404115
400 80
300 800
980 120
710 620
103 500
210 240
850 300
object 3 //341445
302 423
504 520
694 768
10 664
43 1003
694 1023
135 350
object 4 //477641
321 870
1010 643
321 127
432 123
567 1003
970 280
720 120
object 5 //394520
298 650
103 50
103 340
710 50
755 510
982 280
156 614
object 1 //314214
103 340
755 510
310 50
982 280
298 560
648 36
814 450
object 2 //424160
400 80
300 800
980 120
664 812
103 500
210 240
850 300
object 3 //330957
302 423
504 520
694 768
10 813
43 1003
668 1023
120 374
object 4 //449915
321 870
1010 643
316 492
432 96
567 1003
970 382
720 120
object 5 //442981
156 614
103 340
103 70
548 50
848 438
982 280
346 866
object 1 //394520
298 650
156 614
103 340
710 50
982 280
755 510
103 50
object 2 //442981
103 340
548 50
156 614
848 438
982 280
346 866
103 70
object 3 //330957
302 423
668 1023
120 374
10 813
43 1003
504 520
694 768
object 4 //314214
103 340
310 50
755 510
982 280
814 450
298 560
648 36
object 5 //477641
970 280
1010 643
321 127
432 123
321 870
567 1003
720 120
object 1 //404115
850 300
710 620
300 800
980 120
130 210
103 500
400 80
object 2 //331655
103 50
755 510
802 330
710 50
982 280
298 560
103 340
object 3 //330957
668 1023
120 374
43 1003
302 423
10 813
504 520
694 768
object 4 //424160
210 240
980 120
664 812
850 300
400 80
300 800
103 500
object 5 //449915
720 120
321 870
116 492
432 96
567 1003
970 382
1010 643
object 1 //394520
755 510
982 280
103 50
298 650
156 614
710 50
103 340
object 2 //404115
400 80
710 620
103 500
300 800
130 210
850 300
980 120
object 3 //331655
103 50
982 280
298 560
802 330
103 340
755 510
710 50
object 4 //330957
694 768
668 1023
302 423
10 813
120 374
43 1003
504 520
object 5 //341445
694 1023
302 423
10 664
43 1003
135 350
504 520
694 768
